Ts,ActE,ActP,RctP,AppP,Fr,PF,V,A
1648854639,21493,616,297,687,4999,900,23178,2955
1648854640,21493,619,295,679,5000,903,23185,2962
1648854641,21493,316,67,124,5000,743,23357,1602
1648854642,21493,63,63,90,5000,701,23482,384
1648854643,21493,60,63,88,5000,687,23493,375
1648854644,21493,60,63,88,4999,684,23510,375
1648854645,21493,59,63,87,4999,682,23510,373
1648854646,21493,59,63,87,4999,681,23497,373
1648854647,21493,59,63,87,5000,682,23509,373
1648854648,21493,59,63,87,5000,679,23499,373
1648854649,21493,59,63,87,4999,679,23486,372
1648854650,21493,59,63,87,4999,677,23524,371
1648854651,21493,59,63,87,4998,677,23485,371
1648854652,21493,58,63,86,4998,677,23493,370
1648854653,21493,58,63,87,4998,676,23505,370
1648854654,21493,58,63,86,4998,675,23498,370
1648854655,21493,58,63,86,4998,673,23486,368
1648854656,21493,58,63,86,4998,671,23492,368
1648854657,21493,58,63,86,4998,671,23504,367
1648854658,21493,57,63,86,4997,671,23479,367
1648854659,21493,57,62,86,4997,671,23480,367
1648854660,21493,57,63,86,4998,669,23506,367
1648854661,21493,57,63,86,4997,668,23547,366
1648854662,21493,57,63,86,4997,670,23507,366
1648854663,21493,57,63,86,4997,670,23515,367
1648854664,21493,57,63,86,4997,670,23508,366
1648854665,21493,57,63,85,4998,668,23489,366
1648854666,21493,57,62,85,4997,667,23483,365
1648854667,21493,56,63,85,4998,664,23540,364
1648854668,21493,57,63,85,4998,665,23535,364
1648854669,21493,56,63,85,4998,663,23521,363
1648854670,21493,56,63,85,4999,663,23529,363
1648854671,21493,56,62,85,4998,661,23510,362
1648854672,21493,56,63,85,4999,661,23519,362
1648854673,21493,56,62,84,4999,659,23507,361
1648854674,21493,55,62,84,5000,659,23507,361
1648854675,21493,55,62,84,5000,658,23502,360
1648854676,21493,55,62,84,5000,657,23519,360
1648854677,21493,55,62,84,5000,656,23505,359
1648854678,21493,54,62,84,5000,653,23515,357
1648854679,21493,54,62,84,5000,653,23495,357
1648854680,21493,54,62,83,5000,650,23521,356
1648854681,21494,54,62,83,5000,648,23531,355
1648854682,21494,54,62,83,5001,649,23526,355
1648854683,21494,53,62,83,5000,647,23492,354
1648854684,21494,53,62,83,4999,646,23511,354
1648854685,21494,53,62,83,5000,647,23534,354
1648854686,21494,53,62,83,5000,645,23523,354
1648854687,21494,53,62,82,5000,643,23517,352
1648854688,21494,53,62,82,4999,643,23512,352
1648854689,21494,53,62,83,4999,643,23530,353
1648854690,21494,53,62,83,4999,641,23561,353
1648854691,21494,53,62,83,4999,640,23565,352
1648854692,21494,53,62,82,4999,641,23542,352
1648854693,21494,53,62,82,4999,641,23543,352
1648854694,21494,53,62,83,4999,641,23568,353
1648854695,21494,52,63,82,4999,638,23580,352
1648854696,21494,53,62,82,5000,639,23556,352
1648854697,21494,52,62,82,5000,639,23542,351
1648854698,21494,52,62,82,5000,639,23540,351
1648854699,21494,53,62,83,5000,642,23530,353
1648854700,21494,53,62,83,5000,642,23546,353
1648854701,21494,53,62,82,5000,642,23552,352
1648854702,21494,53,62,82,4999,641,23532,352
1648854703,21494,53,62,82,5000,640,23531,352
1648854704,21494,53,62,83,5000,642,23556,352
1648854705,21494,53,62,82,5000,643,23534,352
1648854706,21494,53,62,83,5000,643,23560,353
1648854707,21494,53,62,83,5000,641,23564,352
1648854708,21494,53,63,83,5001,640,23580,353
1648854709,21494,53,62,82,5001,641,23552,352
1648854710,21494,53,62,82,5001,641,23551,352
1648854711,21494,53,62,82,5001,641,23540,351
1648854712,21494,52,62,82,5000,638,23553,351
1648854713,21494,52,62,82,5000,639,23553,351
1648854714,21494,52,62,82,5001,639,23577,351
1648854715,21494,52,62,82,5002,640,23526,351
1648854716,21494,52,62,82,5001,639,23515,351
1648854717,21494,52,62,82,5000,640,23532,351
1648854718,21494,52,62,82,5001,639,23551,352
1648854719,21494,52,62,82,5001,638,23557,351
1648854720,21494,52,62,82,5001,637,23545,350
1648854721,21494,52,62,82,5001,638,23534,351
1648854722,21494,52,62,82,5001,639,23535,351
1648854723,21494,52,62,82,5000,640,23523,351
1648854724,21494,52,62,82,5000,638,23564,351
1648854725,21494,52,62,82,5001,635,23583,350
1648854726,21494,52,62,82,5001,637,23548,350
1648854727,21494,52,62,82,5001,637,23553,350
1648854728,21494,52,62,82,5001,637,23531,350
1648854729,21494,52,62,82,5000,638,23535,350
1648854730,21494,52,62,82,5000,637,23559,350
1648854731,21494,52,62,82,5001,637,23569,350
1648854732,21494,52,62,82,5001,638,23539,350
1648854733,21494,52,62,82,5000,638,23530,350
1648854734,21494,52,62,82,5000,638,23550,350
1648854735,21494,52,62,82,5000,635,23562,349
1648854736,21494,52,62,82,5000,636,23559,350
1648854737,21494,52,62,82,5000,637,23543,350
1648854738,21494,52,62,82,5000,638,23526,350
1648854739,21494,52,62,82,4999,637,23544,350
1648854740,21494,52,62,82,5000,636,23552,349
1648854741,21494,52,62,82,5000,636,23545,350
1648854742,21494,52,62,82,5000,636,23552,350
1648854743,21494,52,62,82,4999,638,23538,351
1648854744,21494,52,62,82,4999,637,23562,350
1648854745,21494,52,62,82,5000,638,23543,350
1648854746,21494,52,62,82,5000,640,23496,351
1648854747,21494,52,62,82,4999,640,23532,351
1648854748,21494,52,62,82,4999,638,23549,351
1648854749,21495,52,62,82,4999,636,23575,350
1648854750,21495,52,63,82,5000,636,23600,351
1648854751,21495,52,62,82,5000,638,23513,350
1648854752,21495,52,62,82,4999,636,23552,350
1648854753,21495,52,62,82,4999,638,23564,351
1648854754,21495,52,62,82,4999,636,23539,350
1648854755,21495,52,62,82,5000,638,23549,351
1648854756,21495,52,62,82,4999,639,23534,351
1648854757,21495,52,62,82,4999,638,23521,351
1648854758,21495,52,62,82,4999,636,23552,350
1648854759,21495,52,62,82,4999,636,23561,350
1648854760,21495,52,62,82,5001,637,23571,350
1648854761,21495,52,62,82,5000,636,23550,350
1648854762,21495,52,62,82,4999,635,23530,349
1648854763,21495,52,62,82,4999,634,23569,350
1648854764,21495,52,62,82,4999,635,23547,350
1648854765,21495,52,62,82,4999,635,23502,349
1648854766,21495,52,62,82,4999,635,23546,350
1648854767,21495,52,62,82,4999,635,23554,350
1648854768,21495,52,62,82,4999,636,23540,350
1648854769,21495,52,62,82,5000,639,23535,350
1648854770,21495,52,62,82,4999,637,23517,351
1648854771,21495,52,62,82,4999,635,23560,350
1648854772,21495,52,62,82,4999,637,23529,350
1648854773,21495,52,62,82,5000,635,23560,350
1648854774,21495,52,62,82,5000,637,23534,350
1648854775,21495,52,62,82,4999,636,23547,350
1648854776,21495,52,62,82,4999,635,23563,350
1648854777,21495,52,62,82,4999,637,23558,350
1648854778,21495,52,62,82,5000,637,23571,350
1648854779,21495,52,62,82,4999,638,23523,350
1648854780,21495,52,62,82,4999,636,23536,350
1648854781,21495,52,62,82,4999,636,23568,350
1648854782,21495,52,62,82,5000,638,23538,350
1648854783,21495,52,62,82,5000,638,23544,351
1648854784,21495,52,62,82,4999,637,23542,351
1648854785,21495,52,62,82,4998,636,23561,350
1648854786,21495,52,62,82,4999,636,23482,350
1648854787,21495,52,62,82,5000,637,23545,350
1648854788,21495,52,62,82,5000,636,23532,350
1648854789,21495,52,62,81,5000,637,23486,349
1648854790,21495,52,62,82,4999,636,23521,349
1648854791,21495,52,62,82,5000,636,23533,349
1648854792,21495,51,62,81,5000,635,23503,347
1648854793,21495,52,62,81,5000,636,23482,349
1648854794,21495,51,62,81,5000,635,23463,348
1648854795,21495,51,62,81,4998,635,23467,348
1648854796,21495,52,62,81,4999,635,23502,348
1648854797,21495,51,62,81,4999,635,23478,348
1648854798,21495,51,62,81,4999,635,23466,348
1648854799,21495,52,62,81,4998,635,23490,349
1648854800,21495,51,62,81,4999,632,23503,348
1648854801,21495,51,62,81,4999,631,23494,347
1648854802,21495,51,62,81,4999,632,23488,347
1648854803,21495,51,62,81,4998,632,23478,347
1648854804,21495,51,62,81,4998,632,23500,347
1648854805,21495,51,62,81,4999,630,23511,346
1648854806,21495,51,62,81,4999,631,23503,347
1648854807,21495,51,62,81,4999,631,23489,347
1648854808,21495,51,62,81,4999,631,23481,346
1648854809,21495,51,62,81,4999,631,23485,346
1648854810,21495,51,62,81,4999,630,23503,346
1648854811,21495,51,62,81,4999,632,23479,347
1648854812,21495,51,62,81,4999,631,23495,347
1648854813,21495,51,62,81,4999,632,23494,347
1648854814,21495,51,62,81,4999,631,23493,346
1648854815,21495,51,62,81,4999,630,23494,346
1648854816,21495,51,62,81,4999,632,23502,347
1648854817,21495,51,62,81,4999,633,23494,348
1648854818,21495,51,62,81,4998,633,23489,347
1648854819,21496,51,62,81,4998,630,23496,346
1648854820,21496,51,62,81,4999,630,23498,346
1648854821,21496,51,62,81,4999,631,23473,346
1648854822,21496,51,62,81,4999,631,23488,347
1648854823,21496,51,62,81,4998,631,23482,346
1648854824,21496,51,62,81,4998,630,23498,346
1648854825,21496,51,62,81,4999,629,23496,346
1648854826,21496,51,62,81,4999,629,23483,346
1648854827,21496,51,62,81,4999,631,23481,346
1648854828,21496,51,62,81,4999,632,23480,347
1648854829,21496,51,62,81,4999,632,23485,347
1648854830,21496,51,62,81,4999,630,23486,346
1648854831,21496,51,62,81,4999,631,23497,347
1648854832,21496,51,62,81,4999,633,23493,347
1648854833,21496,51,62,81,4999,631,23504,347
1648854834,21496,51,62,81,4999,630,23514,347
1648854835,21496,51,62,81,4999,631,23509,346
1648854836,21496,51,62,81,4999,633,23501,347
1648854837,21496,51,62,81,4999,631,23518,347
1648854838,21496,51,62,81,4999,629,23535,346
1648854839,21496,51,62,81,5000,629,23506,346
1648854840,21496,51,62,81,5000,629,23498,346
1648854841,21496,51,62,81,4999,629,23527,347
1648854842,21496,51,62,81,4998,629,23534,347
1648854843,21496,51,62,81,4999,630,23560,347
1648854844,21496,51,62,81,4999,630,23526,347
1648854845,21496,51,62,81,4999,630,23512,346
1648854846,21496,51,62,81,4999,628,23535,346
1648854847,21496,51,62,81,4998,628,23541,346
1648854848,21496,51,62,81,4999,627,23553,346
1648854849,21496,51,62,81,4999,629,23534,346
1648854850,21496,51,62,81,4999,628,23559,346
1648854851,21496,51,62,81,4999,628,23540,346
1648854852,21496,51,62,81,4999,628,23535,346
1648854853,21496,51,62,81,4999,627,23549,346
1648854854,21496,51,62,81,4999,628,23543,346
1648854855,21496,51,62,81,4999,628,23548,346
1648854856,21496,51,62,81,5000,628,23551,346
1648854857,21496,51,62,81,5000,629,23560,346
1648854858,21496,51,62,81,5000,629,23542,347
1648854859,21496,51,62,81,5000,627,23559,346
1648854860,21496,51,62,81,5000,627,23577,346
1648854861,21496,51,62,81,5001,625,23594,346
1648854862,21496,51,62,81,5001,628,23541,345
1648854863,21496,51,62,81,5000,626,23547,346
1648854864,21496,51,62,81,5000,626,23567,345
1648854865,21496,51,62,81,5001,627,23571,346
1648854866,21496,51,62,81,5001,627,23572,346
1648854867,21496,50,62,81,5001,626,23549,345
1648854868,21496,50,62,81,5001,626,23544,345
1648854869,21496,50,62,81,5000,625,23562,345
1648854870,21496,50,62,81,5000,626,23564,345
1648854871,21496,51,62,81,5001,627,23573,346
1648854872,21496,51,62,81,5001,629,23552,346
1648854873,21496,51,62,81,5001,629,23563,347
1648854874,21496,51,62,81,5000,628,23542,346
1648854875,21496,51,62,81,5000,627,23539,345
1648854876,21496,51,62,81,5000,627,23550,345
1648854877,21496,51,62,81,4999,627,23558,346
1648854878,21496,51,62,81,4999,626,23563,346
1648854879,21496,51,62,81,4999,627,23561,346
1648854880,21496,51,62,81,4999,627,23557,346
1648854881,21496,50,62,81,4999,626,23544,345
1648854882,21496,50,62,81,4999,624,23555,345
1648854883,21496,50,62,81,4999,624,23563,345
1648854884,21496,50,62,81,5000,624,23559,344
1648854885,21496,50,62,81,5000,625,23560,345
1648854886,21496,51,62,81,5000,627,23560,346
1648854887,21496,51,62,81,5000,628,23564,346
1648854888,21496,51,62,81,5000,627,23563,345
1648854889,21496,50,62,81,5000,627,23548,345
1648854890,21497,50,62,81,4999,626,23553,345
1648854891,21497,51,62,81,4999,627,23553,345
1648854892,21497,51,62,81,5000,627,23568,346
1648854893,21497,51,62,81,5000,627,23571,346
1648854894,21497,51,62,81,5000,628,23558,346
1648854895,21497,51,62,81,4999,627,23559,346
1648854896,21497,51,62,81,4999,628,23548,345
1648854897,21497,51,62,81,4999,628,23564,346
1648854898,21497,51,62,81,5000,629,23563,346
1648854899,21497,51,62,81,5000,628,23553,346
1648854900,21497,51,62,81,4999,628,23553,346
1648854901,21497,51,62,81,4999,628,23561,346
1648854902,21497,51,62,81,4999,628,23565,346
1648854903,21497,51,62,81,4999,627,23560,346
1648854904,21497,51,62,81,4999,628,23547,346
1648854905,21497,51,62,81,4998,626,23559,346
1648854906,21497,51,62,81,4999,625,23583,346
1648854907,21497,51,62,81,5000,627,23538,345
1648854908,21497,51,62,81,4999,627,23523,345
1648854909,21497,51,62,81,4998,628,23541,346
1648854910,21497,51,62,81,4998,627,23581,346
1648854911,21497,51,62,81,4999,626,23566,345
1648854912,21497,50,62,81,4999,626,23540,345
1648854913,21497,51,62,81,4998,626,23541,345
1648854914,21497,51,62,81,4998,627,23554,346
1648854915,21497,51,62,81,4998,628,23553,346
1648854916,21497,51,62,81,4998,628,23541,346
1648854917,21497,51,62,81,4998,627,23541,345
1648854918,21497,50,62,81,4997,626,23543,345
1648854919,21497,50,62,81,4997,625,23550,345
1648854920,21497,50,62,81,4998,625,23544,344
1648854921,21497,50,62,81,4998,626,23540,344
1648854922,21497,50,62,81,4997,625,23535,345
1648854923,21497,50,62,81,4997,624,23585,345
1648854924,21497,50,62,81,4998,625,23565,345
1648854925,21497,50,62,81,4998,624,23555,345
1648854926,21497,50,62,81,4998,625,23533,345
1648854927,21497,50,62,81,4998,625,23549,344
1648854928,21497,50,62,81,4997,626,23557,345
1648854929,21497,51,62,81,4997,628,23548,346
1648854930,21497,51,62,81,4998,627,23536,346
1648854931,21497,50,62,81,4998,626,23533,345
1648854932,21497,50,62,81,4998,626,23536,345
1648854933,21497,50,62,81,4998,626,23538,344
1648854934,21497,50,62,81,4999,625,23552,345
1648854935,21497,50,62,81,4999,626,23546,344
1648854936,21497,50,62,81,4999,623,23573,344
1648854937,21497,50,62,81,4999,624,23549,344
1648854938,21497,50,62,80,4999,627,23375,343
1648854939,21497,50,62,81,4999,624,23533,344
1648854940,21497,50,62,80,4998,625,23524,344
1648854941,21497,50,62,81,4999,625,23545,344
1648854942,21497,50,62,80,4999,626,23507,344
1648854943,21497,50,62,80,4998,626,23489,344
1648854944,21497,50,62,81,4998,628,23501,345
1648854945,21497,50,62,81,4998,627,23503,345
1648854946,21497,50,62,80,4998,625,23514,344
1648854947,21497,50,62,80,4997,626,23511,344
1648854948,21497,50,62,80,4997,624,23509,344
1648854949,21497,50,62,80,4997,625,23499,344
1648854950,21497,50,62,80,4997,625,23506,344
1648854951,21497,50,62,80,4997,624,23515,344
1648854952,21497,50,62,80,4997,625,23514,344
1648854953,21497,50,62,80,4996,624,23507,344
1648854954,21497,50,62,80,4996,624,23522,344
1648854955,21497,50,62,80,4997,623,23519,344
1648854956,21497,50,62,80,4997,624,23501,343
1648854957,21497,50,62,80,4997,623,23519,343
1648854958,21497,50,62,80,4997,623,23525,344
1648854959,21497,50,62,80,4997,623,23532,344
1648854960,21497,50,62,80,4998,623,23514,343
1648854961,21498,50,62,80,4998,624,23504,343
1648854962,21498,50,62,80,4998,623,23517,343
1648854963,21498,50,62,80,4998,621,23541,343
1648854964,21498,50,62,80,4998,622,23525,343
1648854965,21498,50,62,80,4998,622,23537,343
1648854966,21498,50,62,80,4998,621,23539,343
1648854967,21498,50,62,80,4998,622,23531,342
1648854968,21498,50,62,80,4998,622,23526,343
1648854969,21498,50,62,80,4997,620,23530,342
1648854970,21498,49,62,80,4998,620,23551,342
1648854971,21498,50,62,80,4998,620,23568,343
1648854972,21498,49,62,80,4998,620,23549,342
1648854973,21498,49,62,80,4998,619,23534,342
1648854974,21498,49,62,80,4998,619,23534,342
1648854975,21498,49,62,80,4998,619,23542,342
1648854976,21498,49,62,80,4998,619,23533,341
1648854977,21498,49,62,80,4998,619,23541,342
1648854978,21498,49,62,80,4998,618,23541,341
1648854979,21498,49,62,80,4998,618,23545,341
1648854980,21498,49,62,80,4998,618,23540,341
1648854981,21498,49,62,80,4998,619,23523,341
1648854982,21498,49,62,80,4997,618,23534,341
1648854983,21498,49,62,80,4997,618,23549,342
1648854984,21498,49,62,80,4998,619,23547,341
1648854985,21498,49,62,80,4998,618,23531,341
1648854986,21498,49,62,80,4998,618,23521,341
1648854987,21498,49,62,80,4998,618,23521,342
1648854988,21498,49,62,80,4998,619,23527,342
1648854989,21498,49,62,80,4998,619,23533,341
1648854990,21498,49,62,80,4999,618,23538,341
1648854991,21498,49,62,80,4999,617,23543,341
1648854992,21498,49,62,80,4999,618,23546,341
1648854993,21498,49,62,80,4999,617,23547,342
1648854994,21498,49,62,80,4999,616,23596,342
1648854995,21498,49,62,80,4999,616,23569,341
1648854996,21498,49,62,80,4999,617,23590,342
1648854997,21498,49,62,80,4999,617,23589,342
1648854998,21498,49,62,80,4999,617,23594,342
1648854999,21498,49,62,80,4999,616,23592,341
1648855000,21498,49,62,80,4999,616,23578,341
1648855001,21498,49,62,80,4999,617,23600,341
1648855002,21498,49,62,80,5000,617,23595,342
1648855003,21498,49,62,80,5000,616,23582,341
1648855004,21498,49,62,80,4999,616,23563,341
1648855005,21498,49,62,80,4999,615,23593,341
1648855006,21498,49,62,80,4999,615,23621,341
1648855007,21498,49,62,80,4999,615,23604,341
1648855008,21498,49,62,80,4999,615,23592,341
1648855009,21498,49,62,80,4999,615,23577,340
1648855010,21498,49,62,80,4999,615,23593,341
1648855011,21498,49,62,80,4999,614,23588,341
1648855012,21498,49,62,80,4999,615,23582,340
1648855013,21498,49,62,80,4999,614,23582,340
1648855014,21498,49,62,80,4999,614,23602,341
1648855015,21498,49,62,80,4998,615,23582,341
1648855016,21498,49,62,80,4998,614,23594,341
1648855017,21498,49,62,80,4998,615,23592,340
1648855018,21498,49,62,80,4998,614,23589,340
1648855019,21498,49,62,80,4998,615,23571,340
1648855020,21498,49,62,80,4998,614,23587,341
1648855021,21498,49,62,80,4998,615,23577,340
1648855022,21498,49,62,80,4998,614,23566,340
1648855023,21498,49,62,80,4998,614,23580,340
1648855024,21498,49,62,80,4998,615,23573,341
1648855025,21498,49,62,80,4999,615,23586,341
1648855026,21498,49,62,80,4998,614,23567,340
1648855027,21498,49,62,80,4998,614,23576,341
1648855028,21498,49,62,80,4999,615,23588,340
1648855029,21498,49,62,80,4999,615,23577,340
1648855030,21498,49,62,80,4999,615,23585,341
1648855031,21498,49,62,80,4999,614,23577,340
1648855032,21498,49,62,80,4999,614,23574,340
1648855033,21498,49,62,80,4999,615,23577,341
1648855034,21499,49,62,80,4999,615,23585,341
1648855035,21499,49,62,80,5000,614,23581,340
1648855036,21499,49,62,80,5000,615,23585,340
1648855037,21499,49,62,80,5000,613,23580,340
1648855038,21499,49,62,80,4999,615,23568,340
1648855039,21499,49,62,80,4999,613,23597,340
1648855040,21499,49,62,80,4999,613,23577,340
1648855041,21499,49,62,80,4999,613,23574,340
1648855042,21499,49,62,80,4999,614,23583,340
1648855043,21499,49,62,80,5000,614,23565,340
1648855044,21499,49,62,80,5000,614,23592,340
1648855045,21499,49,62,80,5000,615,23557,340
1648855046,21499,49,62,80,4999,614,23572,340
1648855050,21499,49,62,80,4999,616,23562,341
1648855050,21499,49,62,80,4999,616,23562,341
1648855050,21499,49,62,80,4999,616,23562,341
1648855050,21499,49,62,80,4999,616,23562,341
1648855052,21499,49,62,80,4998,615,23568,340
1648855052,21499,49,62,80,4998,615,23568,340
1648855053,21499,49,62,80,4998,614,23581,340
1648855054,21499,49,62,80,4998,615,23575,340
1648855055,21499,49,62,80,4998,615,23565,341
1648855056,21499,49,62,80,4998,615,23575,340
1648855057,21499,49,62,80,4998,615,23598,340
1648855058,21499,49,62,80,4999,614,23589,340
1648855059,21499,49,62,80,4999,614,23575,340
1648855060,21499,49,62,80,4998,615,23563,340
