Id,ActP__variance_larger_than_standard_deviation,ActP__sum_values,ActP__mean_abs_change,ActP__mean_change,ActP__median,ActP__mean,ActP__length,ActP__standard_deviation,ActP__variation_coefficient,ActP__variance,ActP__skewness,ActP__kurtosis,ActP__root_mean_square,ActP__count_above_mean,ActP__count_below_mean,ActP__maximum,ActP__absolute_maximum,ActP__minimum,ActP__number_peaks__n_5,"ActP__fft_aggregated__aggtype_""centroid""","ActP__fft_aggregated__aggtype_""variance""","ActP__fft_aggregated__aggtype_""skew""","ActP__fft_aggregated__aggtype_""kurtosis""",ActP__fourier_entropy__bins_5,ActP__fourier_entropy__bins_10,Current__variance_larger_than_standard_deviation,Current__sum_values,Current__mean_abs_change,Current__mean_change,Current__median,Current__mean,Current__length,Current__standard_deviation,Current__variation_coefficient,Current__variance,Current__skewness,Current__kurtosis,Current__root_mean_square,Current__count_above_mean,Current__count_below_mean,Current__maximum,Current__absolute_maximum,Current__minimum,Current__number_peaks__n_5,"Current__fft_aggregated__aggtype_""centroid""","Current__fft_aggregated__aggtype_""variance""","Current__fft_aggregated__aggtype_""skew""","Current__fft_aggregated__aggtype_""kurtosis""",Current__fourier_entropy__bins_5,Current__fourier_entropy__bins_10,Vibration__variance_larger_than_standard_deviation,Vibration__sum_values,Vibration__mean_abs_change,Vibration__mean_change,Vibration__median,Vibration__mean,Vibration__length,Vibration__standard_deviation,Vibration__variation_coefficient,Vibration__variance,Vibration__skewness,Vibration__kurtosis,Vibration__root_mean_square,Vibration__count_above_mean,Vibration__count_below_mean,Vibration__maximum,Vibration__absolute_maximum,Vibration__minimum,Vibration__number_peaks__n_5,"Vibration__fft_aggregated__aggtype_""centroid""","Vibration__fft_aggregated__aggtype_""variance""","Vibration__fft_aggregated__aggtype_""skew""","Vibration__fft_aggregated__aggtype_""kurtosis""",Vibration__fourier_entropy__bins_5,Vibration__fourier_entropy__bins_10,ActP__variance_larger_than_standard_deviation.1,ActP__sum_values.1,ActP__mean_abs_change.1,ActP__mean_change.1,ActP__median.1,ActP__mean.1,ActP__length.1,ActP__standard_deviation.1,ActP__variation_coefficient.1,ActP__variance.1,ActP__skewness.1,ActP__kurtosis.1,ActP__root_mean_square.1,ActP__count_above_mean.1,ActP__count_below_mean.1,ActP__maximum.1,ActP__absolute_maximum.1,ActP__minimum.1,ActP__number_peaks__n_5.1,"ActP__fft_aggregated__aggtype_""centroid"".1","ActP__fft_aggregated__aggtype_""variance"".1","ActP__fft_aggregated__aggtype_""skew"".1","ActP__fft_aggregated__aggtype_""kurtosis"".1",ActP__fourier_entropy__bins_5.1,ActP__fourier_entropy__bins_10.1
2022-07-04_21.26.53_2022-07-04_22.15.56,1,136999,0.403857393,0,46,40.02307917,3423,22.22624994,0.555335831,494.0061866,8.731907759,215.7091473,45.78048769,2913,510,576,576,0,7,365.9453436,142095.3832,1.448421065,7.657205505,0.642643152,1.114847223,0,224702.878,0.005988021,9.77E-08,1.829,1.828636702,122880,0.060985722,0.033350376,0.003719258,-0.035138863,17.24315674,1.829653368,62545,60335,2.288,2.288,1.349,2353,3368.18201,93367529.9,3.97563235,19.03163333,0.090728994,0.090728994,1,227942827,19.04097527,-6.51E-05,1856,1855.003475,122880,17.29870218,0.009325428,299.245097,-9.385016826,1070.600544,1855.084132,62035,60845,2545,2545,41,10634,19715.76359,469600926.3,0.519578871,3.722468191,0.611591328,1.247397143,1,2160290,0.238967923,0,45,27.00531283,79995,25.62731222,0.948972981,656.7591317,3.908541077,87.31306682,37.22963944,46081,33914,648,648,0,125,11416.65127,115113786.9,1.043154766,7.072560517,0.463538979,0.941765495
2022-04-10_07.56.41_2022-04-10_08.31.14,1,98099,0.528996865,0,46,38.42499021,2553,25.8224366,0.672021943,666.7982317,8.684022283,195.0868833,46.29555167,2043,510,609,609,0,8,288.8969695,81865.50181,1.324414648,7.747752773,0.600173236,1.050948575,0,225226.377,0.00621618,8.14E-08,1.834,1.832896948,122880,0.063181181,0.034470668,0.003991862,-0.047796357,17.80521195,1.833985574,65051,57829,2.318,2.318,1.338,2320,3498.671562,96980261.52,3.898346716,18.36283661,0.090728994,0.090728994,1,226510074,17.50197349,-0.000138347,1842,1843.343701,122880,17.43160185,0.009456512,303.8607432,17.52427015,2286.104008,1843.42612,54942,67938,4095,4095,1328,10596,19069.80072,430638885.8,0.512490426,3.860662396,0.254093358,0.60102642,1,1427208,0.243932207,0,0,16.43245484,86853,25.60370142,1.558117863,655.5495262,5.480215726,112.8822843,30.42326574,29559,57294,643,643,0,97,12897.84285,128526504,0.914490648,8.041479948,0.342635607,0.901572492
2022-04-19_19.29.13_2022-04-19_20.03.48,1,97698,0.523884103,0,46,38.23796477,2555,26.60688166,0.695823688,707.9261516,9.678508828,209.8246589,46.58398976,2045,510,606,606,0,4,356.270445,121033.9417,1.110416316,6.661476092,0.643498757,1.119063607,0,224749.846,0.006188112,-3.50E-07,1.829,1.829018929,122880,0.062943232,0.034413658,0.00396185,-0.047710394,17.87505108,1.830101662,60883,61997,2.317,2.317,1.333,2437,3487.41379,97313488.85,3.907262712,18.3922692,0.090728994,0.13600217,1,226071720,15.45884976,4.88E-05,1840,1839.776367,122880,15.03643161,0.008172967,226.0942755,-0.456411229,111.1480133,1839.837812,68536,54344,2394,2394,1042,11245,17312.96622,408223091.3,0.655621759,3.545597438,0.362136425,0.881358515,1,1600553,0.278236439,-0.000598754,0,18.42935934,86848,26.61651274,1.444245145,708.4387507,5.575193975,112.0362894,32.37406425,33120,53728,646,646,0,111,13139.14703,138233001.9,0.935118075,7.64498994,0.380794496,0.912436929
2022-04-01_04.36.00_2022-04-01_05.09.28,1,95235,0.550060314,0,46,38.27773312,2488,26.32635188,0.687771969,693.0768032,8.911049004,195.190272,46.45709479,1978,510,611,611,0,4,339.8519633,106290.8853,1.067049194,6.921409071,0.632752289,1.084934763,0,224843.856,0.006159588,-4.56E-07,1.83,1.829783984,122880,0.062952974,0.034404593,0.003963077,-0.019142827,17.9976673,1.8308666,63286,59594,2.31,2.31,1.279,2344,4805.500852,140457536.8,3.096112106,12.02756152,0.090728994,0.13600217,1,226142961,18.22737815,-0.000227866,1840,1840.356128,122880,17.86915162,0.009709616,319.3065795,16.3389704,2083.557661,1840.442877,56854,66026,4095,4095,1407,11058,18231.93073,399008417,0.57504564,3.944029968,0.228464705,0.651774352,1,1458361,0.242718223,-0.000553046,0,16.80274907,86793,25.63538185,1.525665934,657.1728027,5.321742923,107.9861696,30.65134873,30324,56469,643,643,0,102,12522.53026,126122732.6,0.986055907,7.830565456,0.322205986,0.874691365
2022-07-05_03.25.32_2022-07-05_04.07.40,1,119065,0.50400534,0,46,39.72806139,2997,25.40589005,0.639494835,645.4592493,10.80280158,256.1898173,47.15695189,2486,511,638,638,0,5,427.818334,175968.0545,1.085668327,6.44532417,0.697668975,1.193377614,0,224823.871,0.006029728,-2.52E-07,1.83,1.829621346,122880,0.061228123,0.033464915,0.003748883,-0.041781454,17.91384412,1.830645556,63747,59133,2.298,2.298,1.342,2434,3320.033452,91028968.07,4.037136012,19.60700715,0.090728994,0.13600217,1,228056230,16.70415612,0.000179038,1856,1855.926351,122880,17.00607693,0.009163121,289.2066526,-1.672604689,1197.756777,1856.004264,65235,57645,3253,3253,315,10662,20694.79806,512539418.3,0.482452354,3.674542566,1.273877967,1.938064398,1,2147895,0.237165709,0,45,26.84164157,80021,25.66131883,0.956026432,658.5032839,3.943173496,87.51868488,37.13457965,45846,34175,638,638,0,125,11402.22186,113723207.3,1.025166142,7.094041929,0.278097576,0.815600639
2022-07-10_13.26.39_2022-07-10_14.09.14,1,125057,0.472643375,0,48,41.20494234,3035,25.46083031,0.617907194,648.25388,9.863185045,230.9455613,48.43656835,2523,512,619,619,0,6,427.1571138,178291.9813,1.103555074,6.408454722,0.670213936,1.178271062,0,224881.494,0.006092091,3.42E-07,1.831,1.830090283,122880,0.060913833,0.033284605,0.003710495,-0.028604506,17.52778938,1.831103749,62595,60285,2.304,2.304,1.36,2364,3460.883667,96342065.34,3.921105276,18.54105912,0.090728994,0.090728994,1,228100638,22.38433744,8.14E-06,1856,1856.287744,122880,24.16439262,0.01301759,583.9178706,1.890638954,1026.021984,1856.445019,58528,64352,3419,3419,415,10121,25092.05387,626701701.5,0.234145552,4.318412205,0.464580944,0.758205966,1,2236509,0.293665872,0,47,25.75199199,86848,27.86156619,1.081918875,776.2668703,4.396018113,87.68457289,37.93984662,45042,41806,638,638,0,148,12969.71951,134913174.1,0.970962136,7.741272667,0.362136425,0.903650009
2022-06-29_03.48.44_2022-06-29_04.30.04,1,116488,0.488002704,0,46,39.35405405,2960,23.1948922,0.58939016,538.0030241,9.047530367,238.7535461,45.68089967,2450,510,607,607,0,8,431.4338828,141999.1537,0.654368449,7.612225385,0.200814335,0.836027281,0,224750.598,0.006160467,-1.46E-07,1.829,1.829025049,122880,0.062411963,0.034123077,0.003895253,-0.057934244,17.8023481,1.830089583,61308,61572,2.304,2.304,1.341,2310,3408.596741,93666698.98,3.966166299,18.97491581,0.090728994,0.090728994,1,228015319,20.22744326,-1.63E-05,1856,1855.593416,122880,20.60688197,0.011105279,424.6435846,-0.522442835,140.8345953,1855.707835,63197,59683,2663,2663,882,10619,18264.09872,386994683.3,0.594160176,4.178409362,0.209069263,0.443378572,1,1696029,0.22021436,0,0,19.54603497,86771,25.68264966,1.31395701,659.5984933,4.520060731,92.91358686,32.27454068,35906,50865,644,644,0,124,12619.45067,129996333.6,1.015476161,7.720848157,0.398680043,0.920179997
2022-06-07_21.15.41_2022-06-07_21.51.23,1,101530,0.54101488,0,46,38.72234935,2622,26.09451423,0.673887682,680.9236729,9.226794755,200.1703582,46.69415394,2112,510,590,590,0,9,364.8405186,128419.6238,1.11403794,6.581843589,0.670213936,1.178039246,0,224679.513,0.006111353,-3.34E-07,1.829,1.828446558,122880,0.061848509,0.033825713,0.003825238,0.000316397,17.35834405,1.829492294,62533,60347,2.31,2.31,1.357,2298,3414.973081,95437362.36,3.942986201,18.70158602,0.090728994,0.090728994,1,227940546,24.37546692,-0.000284833,1856,1854.984912,122880,23.00991493,0.012404368,529.4561851,-2.353625322,497.6442302,1855.127618,65568,57312,2895,2895,320,10341,23895.69403,597444177.1,0.327890203,4.122118095,0.42451774,0.709059137,1,1926923,0.34421775,0,0,22.18602697,86853,28.06748632,1.265097458,787.7837883,5.753037617,111.8750756,35.77713768,39734,47119,648,648,0,137,13013.55245,140920001.6,1.005818744,7.399047,0.519445499,0.980573453
2022-07-07_19.17.50_2022-07-07_20.13.18,1,159576,0.388655462,0,47,41.89446049,3809,22.0305736,0.525858869,485.346173,9.725007981,253.6564085,47.3338356,3297,512,588,588,0,12,521.6616323,267984.6973,1.120933555,6.487807693,0.642643152,1.128476643,0,224680.331,0.006082195,3.58E-07,1.829,1.828453215,122880,0.060915386,0.033315255,0.003710684,-0.003691813,17.23868596,1.829467639,62192,60688,2.304,2.304,1.358,2314,3427.078998,95872484.33,3.936667115,18.65114372,0.090728994,0.090728994,1,227896227,13.84443233,-1.63E-05,1855,1854.624243,122880,12.12167627,0.00653592,146.9350356,0.219414838,275.1547769,1854.663856,66043,56837,2538,2538,1155,10042,17400.60256,478565624.4,0.723668243,3.042694606,1.056041754,1.574921748,1,2581932,0.233576051,-0.000567241,46,29.88900722,86384,26.27631285,0.879129663,690.4446171,3.149958386,70.84514645,39.79695177,52448,33936,645,645,0,133,12741.92536,138210174.2,0.938274944,7.11167174,0.342635607,0.877054666
2022-06-08_05.58.24_2022-06-08_06.31.30,1,94695,0.567139959,0,47,38.40024331,2466,26.64209604,0.693800188,709.8012814,8.732213486,184.6141319,46.73735088,1956,510,597,597,0,5,310.2593424,98394.46062,1.288941067,6.91342559,0.622610328,1.096360005,0,224698.411,0.006087289,1.63E-08,1.829,1.82860035,122880,0.06183827,0.033817269,0.003823972,-0.014231977,17.62734367,1.829645652,63358,59522,2.302,2.302,1.342,2378,3479.010449,96491523.65,3.907802651,18.44065862,0.090728994,0.13600217,1,227963034,22.80753424,7.32E-05,1856,1855.16792,122880,20.53017603,0.011066479,421.4881278,-9.970459927,932.9481643,1855.281515,62642,60238,2842,2842,0,10020,21436.65413,536169089.6,0.46882403,3.719644896,0.861741081,1.419640112,1,1948411,0.329460667,-0.000564204,0,22.43446672,86849,27.71334417,1.235302114,768.029445,5.453060952,107.2897116,35.65578133,40332,46517,649,649,0,139,12683.1107,135886334.4,1.029346359,7.383956918,0.432357938,0.923208707
