Id,ActP__variance_larger_than_standard_deviation,ActP__sum_values,ActP__mean_abs_change,ActP__mean_change,ActP__median,ActP__mean,ActP__length,ActP__standard_deviation,ActP__variation_coefficient,ActP__variance,ActP__skewness,ActP__kurtosis,ActP__root_mean_square,ActP__count_above_mean,ActP__count_below_mean,ActP__maximum,ActP__absolute_maximum,ActP__minimum,ActP__number_peaks__n_5,"ActP__fft_aggregated__aggtype_""centroid""","ActP__fft_aggregated__aggtype_""variance""","ActP__fft_aggregated__aggtype_""skew""","ActP__fft_aggregated__aggtype_""kurtosis""",ActP__fourier_entropy__bins_5,ActP__fourier_entropy__bins_10,Current__variance_larger_than_standard_deviation,Current__sum_values,Current__mean_abs_change,Current__mean_change,Current__median,Current__mean,Current__length,Current__standard_deviation,Current__variation_coefficient,Current__variance,Current__skewness,Current__kurtosis,Current__root_mean_square,Current__count_above_mean,Current__count_below_mean,Current__maximum,Current__absolute_maximum,Current__minimum,Current__number_peaks__n_5,"Current__fft_aggregated__aggtype_""centroid""","Current__fft_aggregated__aggtype_""variance""","Current__fft_aggregated__aggtype_""skew""","Current__fft_aggregated__aggtype_""kurtosis""",Current__fourier_entropy__bins_5,Current__fourier_entropy__bins_10,Vibration__variance_larger_than_standard_deviation,Vibration__sum_values,Vibration__mean_abs_change,Vibration__mean_change,Vibration__median,Vibration__mean,Vibration__length,Vibration__standard_deviation,Vibration__variation_coefficient,Vibration__variance,Vibration__skewness,Vibration__kurtosis,Vibration__root_mean_square,Vibration__count_above_mean,Vibration__count_below_mean,Vibration__maximum,Vibration__absolute_maximum,Vibration__minimum,Vibration__number_peaks__n_5,"Vibration__fft_aggregated__aggtype_""centroid""","Vibration__fft_aggregated__aggtype_""variance""","Vibration__fft_aggregated__aggtype_""skew""","Vibration__fft_aggregated__aggtype_""kurtosis""",Vibration__fourier_entropy__bins_5,Vibration__fourier_entropy__bins_10
2022-06-23_12.00.00_2022-06-23_12.53.00,1,2097,0.004919377,0.001093195,0,0.57295082,3660,1.406806457,2.455370354,1.979104407,2.084424488,2.595132535,1.519005283,523,3137,10,10,0,1,428.2565893,311470.0478,1.105033211,3.84455513,0.090728994,0.170467354,1,1154969119,2.848755867,3.29E-06,1900,1898.820758,608256,6.490352814,0.003418097,42.12467965,-0.114675482,-0.712868257,1898.83185,327806,280450,1968,1968,1875,25750,37503.47652,6195548215,2.009457518,5.835535143,0.090728994,0.13600217,1,1130008849,77.11146805,-0.000302505,1857,1857.784961,608256,109.3433024,0.058856813,11955.95778,1.089102349,123.0420884,1860.999978,302622,305634,4095,4095,0,52423,141803.177,7706423523,0.142392182,22.39409241,0.278097576,0.740560764
2022-03-22_15.10.00_2022-03-22_15.50.00,1,52395,3.452935047,0.000347343,4,18.19270833,2880,18.42124799,1.012562157,339.3423774,0.37722772,-1.621635554,25.89048114,1249,1631,62,62,0,106,423.9770491,159580.0213,0.874207206,6.47985188,0.262742333,0.487946536,1,8691593930,5.903987362,1.75E-06,1901,1899.705617,4575232,20.13528838,0.010599162,405.429838,0.15123701,8.685414998,1899.812323,2376829,2198403,2294,2294,1509,209054,606485.4145,4.62587E+11,0.914396802,4.49503685,0.2734888,0.33994229,1,8503635344,180.142266,8.39E-05,1858,1858.623856,4575232,216.5064179,0.116487485,46875.02899,0.103647213,11.58758559,1871.19151,2277893,2297339,4095,4095,0,433308,1226926.978,3.82587E+11,-0.296419852,48.40397519,0.813456773,1.401356678
2022-03-22_14.00.00_2022-03-22_14.40.00,1,52787,3.539505743,0.000348068,6,18.3670842,2874,18.63424581,1.014545673,347.235117,0.421146986,-1.401825649,26.16457336,1236,1638,112,112,0,109,435.3536284,161939.0705,0.805353554,6.648223134,0.2734888,0.435264208,1,8736858433,5.998219708,-1.09E-06,1901,1899.39633,4599808,20.14461739,0.0106058,405.8056096,0.134428818,7.58755283,1899.503152,2368681,2231127,2097,2097,1728,218787,608286.6674,4.73726E+11,0.91379879,4.407499183,0.2734888,0.33994229,1,8548420266,128.2106104,6.30E-06,1858,1858.429801,4599808,160.2280776,0.086216911,25673.03686,0.041048273,15.10804183,1865.324198,2278853,2320955,4095,4095,0,438219,1195937.752,3.72782E+11,-0.208940087,46.17872236,0.579044012,1.142802276
2022-03-21_08.15.00_2022-03-21_09.20.00,1,1384581,5.890980032,-0.000229516,40,317.7101882,4358,576.6379088,1.814980855,332511.2779,1.742481345,1.196222012,658.3699883,870,3488,1643,1643,1,165,307.4568118,258856.353,1.994649323,6.485653982,0.125255702,0.181213822,1,14049523892,30.74392505,7.69E-05,1901,1899.783741,7395328,309.9439002,0.163146938,96065.22128,-0.004747491,4.224384231,1924.900902,3841847,3553481,2974,2974,835,284099,830197.7157,9.2582E+11,1.338007312,5.387954177,0.090728994,0.090728994,1,13754485282,240.853301,1.51E-05,1859,1859.88847,7395328,301.9945689,0.162372408,91200.71964,0.383330232,13.56171799,1884.246757,3657089,3738239,4095,4095,0,713102,1953533.168,8.69932E+11,-0.155484515,59.65807616,0.661823035,1.23837888
2021-12-16_10.39.00_2021-12-16_13.22.00,1,2942616,9.999264616,-0.00637333,78,360.6147059,8160,632.1250005,1.752909657,399582.0163,1.566891381,0.525744117,727.7533802,1528,6632,1803,1803,0,279,583.1290282,957055.7251,1.94745934,6.22297675,0.090728994,0.13600217,0,29659363.09,0.03104331,-7.69E-10,1.902,1.899901549,15611000,0.305627078,0.160864692,0.093407911,-0.01351295,3.945588362,1.924326845,8109462,7501538,3.195,3.195,0.626,552959,1746971.866,4.3572E+12,1.490064937,5.581084351,0.090728994,0.13600217,1,29693220899,2.004729806,-6.41E-08,1902,1902.070393,15611000,4.109768261,0.002160681,16.89019516,52.4011045,79451.20557,1902.074833,7050728,8560272,4095,4095,0,583595,3598817.49,7.91282E+12,-0.020689516,9.510623326,0.88734757,1.526185609
2022-02-25_08.00.00_2022-02-25_10.50.00,1,4184579,10.07847216,0,74,395.5926451,10578,670.3291943,1.694493572,449341.2287,1.411665643,0.043670693,778.3538846,2199,8379,1810,1810,0,464,718.1628092,1587980.053,2.018234524,6.41548771,0.090728994,0.13600217,1,40512248411,32.77795353,-2.00E-05,1902,1899.862783,21323776,347.9001666,0.183118576,121034.5259,-0.007825412,2.820701673,1931.453629,11185355,10138421,3164,3164,678,736315,2687272.127,7.68704E+12,1.174249762,5.949849287,0.090728994,0.090728994,1,39768991638,454.0291151,-1.57E-05,1858,1865.007006,21323776,519.4500584,0.278524454,269828.3632,0.540627493,7.410629108,1935.995738,9990558,11333218,4095,4095,0,1836243,6672974.777,8.34368E+12,-0.559482407,87.71013817,1.299014378,1.949466353
2021-12-20_15.00.00_2021-12-20_16.50.00,1,2772854,20.98733744,0,134,474.3976048,5845,719.4138223,1.516478614,517556.2477,1.238639324,-0.40291084,861.7478373,1362,4483,1921,1921,0,307,442.907921,537138.8178,1.832867622,5.668980339,0.125255702,0.170467354,0,28885200.34,0.264060765,-6.57E-10,1.9,1.898843041,15212000,0.443371164,0.233495426,0.196577989,-0.002241192,0.819841348,1.949918686,7792883,7419117,3.541,3.541,0.319,507999,2908073.322,8.39154E+12,0.536637054,4.612349072,0.204870522,0.363345842,1,28926343147,1.87909564,1.97E-07,1902,1901.547669,15212000,2.7489652,0.001445646,7.556809668,-3.106885176,1061.037462,1901.549656,8260612,6951388,2293,2293,1394,605107,2733700.641,6.56406E+12,0.384489857,5.608457431,1.271058331,1.880763641
2022-07-08_07.26.00_2022-07-08_08.30.00,1,4923,2.440748441,0.037422037,8,10.21369295,482,7.721150241,0.755960678,59.61616105,4.015582322,39.4853152,12.80373714,222,260,101,101,4,24,86.48842655,5728.905672,0.475093527,6.998181949,0.410478512,0.985427251,1,11253856543,6.562612503,-1.35E-06,1901,1899.428669,5924864,22.85036211,0.012030124,522.1390486,0.161919334,44.54055755,1899.566111,3046785,2878079,2277,2277,1504,252641,881901.2773,7.69296E+11,0.749230892,5.432763988,0.262742333,0.307702886,1,11104058138,1089.731979,0.000275956,1858,1874.145658,5924864,833.2411284,0.444597849,694290.778,0.270718486,0.885815803,2051.027236,2867373,3057491,4095,4095,0,468076,1957565.43,6.35283E+11,-0.819122888,111.7596857,1.082817604,1.672126459
2021-12-16_13.25.00_2021-12-16_16.10.00,1,3740173,9.857386592,-0.000100361,82,375.3309584,9965,645.702514,1.720355062,416931.7365,1.482153523,0.255767589,746.8634847,1977,7988,1765,1765,0,395,630.1781544,1252744.835,2.149407018,7.12533495,0.090728994,0.170467354,0,39080860.22,0.039563427,7.29E-10,1.901,1.899618928,20573000,0.319754983,0.168325857,0.102243249,-0.013456124,3.422814439,1.926342473,10568845,10004155,3.175,3.175,0.656,746178,2816137.771,9.49234E+12,1.150975626,5.093281493,0.090728994,0.13600217,1,39126466449,2.180710163,0,1902,1901.835729,20573000,3.499115082,0.001839862,12.24380636,27.87462175,66983.9954,1901.838948,12911480,7661520,4095,4095,0,763825,4292196.658,1.23671E+13,0.17238749,8.261141132,1.067092481,1.586979289
2022-07-05_08.08.00_2022-07-05_09.12.00,1,53093,1.680639185,0.00347383,4,12.29289187,4319,22.28638917,1.812949256,496.6831423,3.863316903,18.60298925,25.4518827,1333,2986,170,170,0,119,515.7429158,379739.5146,1.139779793,4.522104084,0.13600217,0.21561699,1,24483854638,8.123688825,4.65E-07,1901,1899.127426,12892160,40.46260684,0.021305894,1637.222552,0.034165234,50.65743045,1899.558423,6623542,6268618,2894,2894,1385,507199,2043786.375,3.34115E+12,0.733740948,7.128424267,0.245901454,0.355233467,1,24321290986,886.2732486,-8.26E-05,1857,1886.517929,12892160,978.4036099,0.518629373,957273.6239,0.288716583,0.392457483,2125.140824,5969047,6923113,4095,4095,0,984624,3229025.957,3.16723E+12,0.116521324,34.4032244,1.38951942,1.973357098
