Ts,ActE,ActP,RctP,AppP,Fr,PF,V,A
1639574100,2413,0,-14,14,5001,50,23612,61
1639574101,2413,0,-14,14,5001,50,23607,61
1639574102,2413,0,-14,14,5000,51,23611,61
1639574103,2413,0,-14,14,5000,50,23610,61
1639574105,2413,0,-14,14,5000,51,23627,61
1639574105,2413,0,-14,14,5000,51,23627,61
1639574106,2413,0,-14,14,5000,51,23633,61
1639574107,2413,0,-14,14,5000,50,23620,61
1639574108,2413,0,-14,14,5000,51,23623,61
1639574110,2413,0,-14,14,5000,51,23623,61
1639574110,2413,0,-14,14,5000,50,23621,61
1639574111,2413,0,-14,14,5000,50,23624,61
1639574112,2413,0,-14,14,4999,51,23610,61
1639574113,2413,0,-14,14,4999,51,23612,61
1639574114,2413,0,-14,14,4998,51,23614,61
1639574115,2413,0,-14,14,4999,51,23621,61
1639574116,2413,0,-14,14,4999,51,23615,61
1639574117,2413,0,-14,14,4999,50,23611,61
1639574118,2413,0,-14,14,4998,51,23608,61
1639574119,2413,0,-14,14,4998,50,23622,61
1639574120,2413,0,-14,14,4998,51,23617,61
1639574121,2413,0,-14,14,4998,50,23616,61
1639574122,2413,0,-14,14,4998,51,23590,61
1639574124,2413,0,-14,14,4998,51,23595,61
1639574124,2413,0,-14,14,4997,50,23592,61
1639574125,2413,0,-14,14,4997,51,23541,61
1639574126,2413,0,-14,14,4998,51,23566,61
1639574127,2413,0,-14,14,4998,50,23554,61
1639574128,2413,0,-14,14,4998,51,23554,61
1639574129,2413,0,-14,14,4998,51,23571,61
1639574130,2413,0,-14,14,4997,50,23570,61
1639574131,2413,0,-14,14,4997,51,23573,61
1639574132,2413,0,-14,14,4997,50,23572,61
1639574133,2413,0,-14,14,4997,50,23570,61
1639574134,2413,0,-14,14,4997,50,23572,61
1639574135,2413,0,-14,14,4997,50,23578,61
1639574136,2413,0,-14,14,4997,51,23576,61
1639574137,2413,0,-14,14,4997,50,23566,61
1639574138,2413,0,-14,14,4998,50,23554,61
1639574139,2413,0,-14,14,4998,51,23568,61
1639574140,2413,0,-14,14,4998,51,23562,61
1639574141,2413,0,-14,14,4997,51,23561,61
1639574142,2413,0,-14,14,4997,50,23570,61
1639574143,2413,0,-14,14,4997,51,23591,61
1639574144,2413,0,-14,14,4998,50,23592,61
1639574145,2413,0,-14,14,4998,50,23568,61
1639574146,2413,0,-14,14,4998,51,23560,61
1639574147,2413,0,-14,14,4998,51,23565,61
1639574148,2413,0,-14,14,4998,50,23577,61
1639574149,2413,0,-14,14,4998,50,23577,61
1639574150,2413,0,-14,14,4998,50,23588,61
1639574151,2413,0,-14,14,4998,50,23591,61
1639574152,2413,0,-14,14,4998,51,23579,61
1639574153,2413,0,-14,14,4998,50,23575,61
1639574154,2413,0,-14,14,4998,51,23582,61
1639574155,2413,0,-14,14,4998,50,23578,61
1639574156,2413,0,-14,14,4999,50,23555,61
1639574157,2413,0,-14,14,4999,51,23554,61
1639574158,2413,0,-14,14,4999,51,23575,61
1639574159,2413,0,-14,14,4999,50,23586,61
1639574160,2413,0,-14,14,4999,50,23595,61
1639574161,2413,0,-14,14,4999,50,23578,61
1639574162,2413,0,-14,14,4998,50,23574,61
1639574163,2413,0,-14,14,4998,50,23569,61
1639574164,2413,0,-14,14,4998,51,23567,61
1639574165,2413,0,-14,14,4999,50,23575,61
1639574166,2413,0,-14,14,4999,50,23576,61
1639574167,2413,0,-14,14,4999,51,23561,61
1639574169,2413,0,-14,14,4999,50,23564,61
1639574170,2413,0,-14,14,4999,50,23570,61
1639574170,2413,0,-14,14,4998,51,23560,61
1639574171,2413,0,-14,14,5000,51,23566,61
1639574172,2413,0,-14,14,4999,51,23549,61
1639574173,2413,0,-14,14,4998,51,23549,61
1639574174,2413,0,-14,14,4998,51,23566,61
1639574175,2413,0,-14,14,4999,51,23588,61
1639574176,2413,0,-14,14,5000,50,23585,61
1639574177,2413,0,-14,14,5001,50,23572,61
1639574178,2413,0,-14,14,5000,50,23561,61
1639574179,2413,0,-14,14,5000,50,23550,61
1639574180,2413,0,-14,14,4999,51,23558,61
1639574181,2413,0,-14,14,5000,51,23568,61
1639574182,2413,0,-14,14,5000,50,23539,61
1639574183,2413,0,-14,14,5000,50,23539,61
1639574184,2413,0,-14,14,4999,51,23540,61
1639574185,2413,0,-14,14,4999,51,23549,61
1639574186,2413,0,-14,14,5000,51,23556,61
1639574187,2413,0,-14,14,5000,51,23552,61
1639574188,2413,0,-14,14,4999,51,23558,61
1639574189,2413,0,-14,14,4999,51,23556,61
1639574190,2413,0,-14,14,4998,51,23557,61
1639574191,2413,0,-14,14,4999,50,23566,61
1639574192,2413,0,-14,14,4999,50,23565,61
1639574193,2413,0,-14,14,5000,51,23566,61
1639574194,2413,0,-14,14,4999,51,23552,61
1639574195,2413,0,-14,14,4999,50,23583,61
1639574196,2413,0,-14,14,4999,50,23573,61
1639574197,2413,0,-14,14,4999,50,23589,61
1639574198,2413,0,-14,14,4999,51,23582,61
1639574200,2413,0,-14,14,4999,50,23567,61
1639574200,2413,0,-14,14,4999,50,23567,61
1639574201,2413,0,-14,14,4999,51,23569,61
1639574202,2413,0,-14,14,4999,51,23564,61
1639574203,2413,0,-14,14,5000,51,23569,61
1639574204,2413,0,-14,14,4999,50,23568,61
1639574205,2413,0,-14,14,4999,51,23586,61
1639574206,2413,0,-14,14,4999,51,23558,61
1639574207,2413,0,-14,14,4999,51,23557,61
1639574208,2413,0,-14,14,4998,51,23563,61
1639574209,2413,0,-14,14,4999,51,23568,61
1639574210,2413,0,-14,14,4999,51,23551,61
1639574211,2413,0,-14,14,4999,51,23542,61
1639574212,2413,0,-14,14,4998,50,23539,61
1639574213,2413,0,-14,14,4998,51,23562,61
1639574214,2413,0,-14,14,4998,50,23570,61
1639574215,2413,0,-14,14,4999,51,23566,61
1639574216,2413,0,-14,14,4999,50,23538,61
1639574217,2413,0,-14,14,4998,51,23534,61
1639574218,2413,0,-14,14,4998,51,23545,61
1639574219,2413,0,-14,14,4998,50,23558,61
1639574220,2413,0,-14,14,4999,50,23552,61
1639574221,2413,0,-14,14,4999,50,23561,61
1639574222,2413,0,-14,14,4999,51,23565,61
1639574223,2413,0,-14,14,4998,51,23553,61
1639574224,2413,0,-14,14,4998,50,23571,61
1639574226,2413,0,-14,14,4998,51,23566,61
1639574227,2413,0,-14,14,4999,50,23563,61
1639574227,2413,0,-14,14,4999,50,23542,61
1639574228,2413,0,-14,14,4998,50,23548,61
1639574229,2413,0,-14,14,4998,51,23567,61
1639574230,2413,0,-14,14,4998,50,23585,61
1639574231,2413,0,-14,14,4999,50,23574,61
1639574232,2413,0,-14,14,4999,50,23570,61
1639574233,2413,0,-14,14,4998,50,23563,61
1639574234,2413,0,-14,14,4998,51,23560,61
1639574235,2413,0,-14,14,4998,50,23566,61
1639574236,2413,0,-14,14,4999,50,23562,61
1639574237,2413,0,-14,14,4999,50,23554,61
1639574238,2413,0,-14,14,4999,50,23536,61
1639574239,2413,0,-14,14,4998,51,23563,61
1639574240,2413,0,-14,14,4998,50,23571,61
1639574241,2413,0,-14,14,4998,51,23569,61
1639574242,2413,0,-14,14,4999,51,23560,61
1639574243,2413,0,-14,14,4999,51,23533,61
1639574244,2413,0,-14,14,4998,50,23521,61
1639574245,2413,0,-14,14,4998,50,23547,61
1639574246,2413,0,-14,14,4998,50,23544,61
1639574247,2413,0,-14,14,4999,51,23550,61
1639574248,2413,0,-14,14,4999,50,23543,61
1639574249,2413,0,-14,14,4998,51,23532,61
1639574250,2413,0,-14,14,4997,50,23544,61
1639574251,2413,0,-14,14,4997,50,23569,61
1639574252,2413,0,-14,14,4998,51,23567,61
1639574253,2413,0,-14,14,4999,51,23534,61
1639574254,2413,0,-14,14,4999,50,23527,61
1639574255,2413,0,-14,14,4998,50,23522,61
1639574257,2413,0,-14,14,4998,50,23540,61
1639574257,2413,0,-14,14,4998,50,23565,61
1639574258,2413,0,-14,14,4999,51,23558,61
1639574259,2413,0,-14,14,4999,50,23553,61
1639574260,2413,0,-14,14,4998,51,23546,61
1639574261,2413,0,-14,14,4997,51,23550,61
1639574262,2413,0,-14,14,4997,51,23556,61
1639574263,2413,0,-14,14,4998,51,23562,61
1639574264,2413,0,-14,14,4998,50,23553,61
1639574288,2413,0,-14,14,4999,51,23577,61
1639574288,2413,0,-14,14,4999,51,23577,61
1639574288,2413,0,-14,14,4999,51,23577,61
1639574288,2413,0,-14,14,4999,51,23577,61
1639574288,2413,0,-14,14,4999,51,23577,61
1639574288,2413,0,-14,14,4999,51,23577,61
1639574288,2413,0,-14,14,4999,51,23577,61
1639574304,2413,0,-14,14,4997,50,23581,61
1639574305,2413,0,-14,14,4997,50,23565,61
1639574306,2413,0,-14,14,4997,51,23569,61
1639574308,2413,0,-14,14,4997,50,23573,61
1639574308,2413,0,-14,14,4997,50,23573,61
1639574309,2413,0,-14,14,4997,51,23575,61
1639574310,2413,0,-14,14,4997,50,23589,61
1639574312,2413,0,-14,14,4997,50,23590,61
1639574313,2413,0,-14,14,4997,50,23590,61
1639574313,2413,0,-14,14,4997,51,23589,61
1639574314,2413,0,-14,14,4998,51,23587,61
1639574315,2413,0,-14,14,4998,51,23573,61
1639574316,2413,0,-14,14,4998,51,23560,61
1639574317,2413,0,-14,14,4998,51,23570,61
1639574318,2413,0,-14,14,4998,50,23581,61
1639574319,2413,0,-14,14,4998,50,23587,61
1639574320,2413,0,-14,14,4999,51,23590,61
1639574321,2413,0,-14,14,4999,50,23577,61
1639574322,2413,0,-14,14,4998,50,23575,61
1639574323,2413,0,-14,14,4998,51,23569,61
1639574324,2413,0,-14,14,4998,50,23586,61
1639574325,2413,0,-14,14,4998,51,23568,61
1639574326,2413,0,-14,14,4999,50,23579,61
1639574327,2413,0,-14,14,4999,51,23571,61
1639574328,2413,0,-14,14,4999,51,23578,61
1639574329,2413,0,-14,14,4998,51,23587,61
1639574330,2413,0,-14,14,4998,50,23591,61
1639574332,2413,0,-14,14,4999,51,23590,61
1639574332,2413,0,-14,14,4999,51,23564,61
1639574333,2413,0,-14,14,4999,51,23562,61
1639574334,2413,0,-14,14,4999,51,23567,61
1639574335,2413,0,-14,14,4999,51,23578,61
1639574336,2413,0,-14,14,4999,51,23595,61
1639574337,2413,0,-14,14,4999,50,23602,61
1639574338,2413,0,-14,14,4999,50,23576,61
1639574339,2413,0,-14,14,4999,50,23592,61
1639574340,2413,0,-14,14,4999,51,23595,61
1639574341,2413,0,-14,14,4999,50,23587,61
1639574342,2413,0,-14,14,4999,50,23578,61
1639574343,2413,0,-14,14,4999,51,23564,61
1639574344,2413,0,-14,14,4999,50,23560,61
1639574345,2413,0,-14,14,4998,51,23570,61
1639574346,2413,0,-14,14,4998,50,23579,61
1639574347,2413,0,-14,14,4998,51,23579,61
1639574348,2413,0,-14,14,4998,50,23573,61
1639574349,2413,0,-14,14,4998,51,23576,61
1639574350,2413,0,-14,14,4998,50,23571,61
1639574351,2413,0,-14,14,4999,51,23568,61
1639574352,2413,0,-14,14,4999,51,23564,61
1639574353,2413,0,-14,14,4999,51,23548,61
1639574354,2413,0,-14,14,4998,50,23556,61
1639574355,2413,0,-14,14,4997,51,23565,61
1639574356,2413,0,-14,14,4998,51,23577,61
1639574357,2413,0,-14,14,4998,51,23588,61
1639574358,2413,0,-14,14,4999,51,23586,61
1639574359,2413,0,-14,14,4999,51,23564,61
1639574360,2413,0,-14,14,4999,51,23560,61
1639574361,2413,0,-14,14,4999,51,23558,61
1639574362,2413,0,-14,14,4998,51,23570,61
1639574363,2413,0,-14,14,4999,51,23576,61
1639574364,2413,0,-14,14,4998,51,23578,61
1639574365,2413,0,-14,14,4998,51,23580,61
1639574366,2413,0,-14,14,4998,51,23595,61
1639574367,2413,0,-14,14,4999,51,23601,61
1639574368,2413,0,-14,14,4999,50,23575,61
1639574369,2413,0,-14,14,4999,51,23558,61
1639574370,2413,0,-14,14,4998,51,23559,61
1639574371,2413,0,-14,14,4998,51,23548,61
1639574372,2413,0,-14,14,4998,51,23586,61
1639574373,2413,0,-14,14,4999,50,23601,61
1639574374,2413,0,-14,14,4999,50,23577,61
1639574375,2413,0,-14,14,4999,51,23561,61
1639574376,2413,0,-14,14,4998,51,23562,61
1639574377,2413,0,-14,14,4998,51,23579,61
1639574378,2413,0,-14,14,4999,50,23578,61
1639574379,2413,0,-14,14,4999,51,23561,61
1639574380,2413,0,-14,14,4999,51,23544,60
1639574381,2413,0,-14,14,4998,51,23556,61
1639574382,2413,0,-14,14,4998,50,23574,61
1639574383,2413,0,-14,14,4998,50,23592,61
1639574384,2413,0,-14,14,4999,50,23581,61
1639574385,2413,0,-14,14,4999,51,23557,61
1639574386,2413,0,-14,14,4999,51,23543,61
1639574387,2413,0,-14,14,4998,51,23545,61
1639574388,2413,0,-14,14,4998,51,23561,61
1639574389,2413,0,-14,14,4998,51,23567,61
1639574390,2413,0,-14,14,4999,51,23570,61
1639574391,2413,0,-14,14,4999,51,23562,61
1639574392,2413,0,-14,14,4998,51,23559,61
1639574393,2413,0,-14,14,4998,51,23566,61
1639574394,2413,0,-14,14,4998,51,23576,61
1639574395,2413,0,-14,14,4998,51,23577,61
1639574396,2413,0,-14,14,4999,50,23562,61
1639574397,2413,0,-14,14,4998,51,23560,61
1639574398,2413,0,-14,14,4998,50,23579,61
1639574399,2413,0,-14,14,4998,51,23589,61
1639574400,2413,0,-14,14,4998,51,23592,61
1639574401,2413,0,-14,14,4999,50,23581,61
1639574402,2413,0,-14,14,4998,51,23567,61
1639574403,2413,0,-14,14,4998,50,23574,61
1639574404,2413,0,-14,14,4997,51,23585,61
1639574405,2413,0,-14,14,4998,51,23576,61
1639574406,2413,0,-14,14,4998,51,23579,61
1639574407,2413,0,-14,14,4998,51,23571,61
1639574408,2413,0,-14,14,4998,50,23572,61
1639574409,2413,0,-14,14,4998,50,23583,61
1639574410,2413,0,-14,14,4998,50,23583,61
1639574411,2413,0,-14,14,4999,51,23589,61
1639574412,2413,0,-14,14,4999,51,23569,61
1639574413,2413,0,-14,14,4998,51,23561,61
1639574414,2413,0,-14,14,4998,50,23565,61
1639574415,2413,0,-14,14,4997,51,23567,61
1639574416,2413,0,-14,14,4998,51,23573,61
1639574417,2413,0,-14,14,4998,51,23552,61
1639574418,2413,0,-14,14,4998,50,23545,61
1639574419,2413,0,-14,14,4998,51,23543,61
1639574420,2413,0,-14,14,4997,51,23567,61
1639574421,2413,0,-14,14,4997,51,23585,61
1639574422,2413,0,-14,14,4998,50,23589,61
1639574423,2413,0,-14,14,4998,51,23580,61
1639574424,2413,0,-14,14,4997,51,23555,61
1639574425,2413,0,-14,14,4996,51,23550,61
1639574426,2413,0,-14,14,4996,51,23565,61
1639574427,2413,0,-14,14,4996,51,23571,61
1639574428,2413,0,-14,14,4997,50,23577,61
1639574429,2413,0,-14,14,4997,51,23558,61
1639574430,2413,0,-14,14,4997,51,23569,61
1639574431,2413,0,-14,14,4996,51,23572,61
1639574432,2413,0,-14,14,4997,51,23592,61
1639574433,2413,0,-14,14,4997,51,23593,61
1639574434,2413,0,-14,14,4997,50,23571,61
1639574435,2413,0,-14,14,4997,51,23552,61
1639574436,2413,0,-14,14,4996,51,23561,61
1639574437,2413,0,-14,14,4996,51,23571,61
1639574438,2413,0,-14,14,4997,50,23590,61
1639574439,2413,0,-14,14,4998,50,23589,61
1639574440,2413,0,-14,14,4998,51,23599,61
1639574441,2413,0,-14,14,4997,51,23601,61
1639574442,2413,0,-14,14,4997,51,23605,61
1639574443,2413,0,-14,14,4997,51,23613,61
1639574444,2413,0,-14,14,4998,51,23620,61
1639574445,2413,0,-14,14,4998,50,23599,61
1639574446,2413,0,-14,14,4998,51,23593,61
1639574447,2413,0,-14,14,4997,51,23604,61
1639574448,2413,0,-14,14,4997,51,23612,61
1639574449,2413,0,-14,14,4998,51,23609,61
1639574450,2413,0,-14,14,4998,51,23591,61
1639574451,2413,0,-14,14,4998,51,23587,61
1639574452,2413,0,-14,14,4998,51,23596,61
1639574453,2413,0,-14,14,4997,50,23600,61
1639574454,2413,0,-14,14,4998,50,23605,61
1639574455,2413,0,-14,14,4998,50,23595,61
1639574456,2413,0,-14,14,4998,50,23592,61
1639574457,2413,0,-14,14,4998,51,23588,61
1639574458,2413,0,-14,14,4998,52,23600,61
1639574459,2413,0,-14,14,4998,24,23604,60
1639574460,2413,0,-14,14,4998,20,23610,60
1639574461,2413,0,-14,14,4998,20,23601,60
1639574462,2413,0,-14,14,4998,20,23596,60
1639574463,2413,0,-14,14,4998,20,23590,60
1639574464,2413,0,-14,14,4999,20,23604,60
1639574465,2413,0,-14,14,4999,20,23595,60
1639574466,2413,0,-14,14,4999,20,23586,60
1639574467,2413,0,-14,14,4999,31,23572,60
1639574468,2413,0,-14,14,4998,58,23582,61
1639574469,2413,0,-14,14,4998,59,23591,61
1639574470,2413,0,-14,14,4998,58,23598,61
1639574471,2413,0,-14,14,4999,60,23604,61
1639574472,2413,0,-14,14,4999,59,23592,61
1639574473,2413,0,-14,14,4998,60,23584,61
1639574474,2413,0,-14,14,4998,60,23606,61
1639574475,2413,0,-14,14,4998,60,23607,61
1639574476,2413,0,-14,14,4998,60,23604,61
1639574477,2413,0,-14,14,4998,60,23598,61
1639574478,2413,0,-14,14,4998,60,23593,61
1639574479,2413,0,-14,14,4998,59,23598,61
1639574480,2413,0,-14,14,4998,61,23604,61
1639574481,2413,0,-14,14,4998,61,23600,61
1639574482,2413,0,-14,14,4998,60,23596,61
1639574483,2413,0,-14,14,4998,60,23578,61
1639574484,2413,0,-14,14,4997,60,23587,61
1639574485,2413,0,-14,14,4998,59,23593,61
1639574486,2413,0,-14,14,4998,60,23592,61
1639574487,2413,0,-14,14,4998,59,23585,61
1639574488,2413,0,-14,14,4997,59,23577,61
1639574489,2413,0,-14,14,4997,60,23586,61
1639574490,2413,0,-14,14,4997,60,23580,61
1639574491,2413,0,-14,14,4997,62,23579,61
1639574492,2413,125,-12,133,4997,941,23504,567
1639574493,2413,12,-14,18,4997,620,23558,84
1639574494,2413,7,-14,16,4997,607,23559,71
1639574495,2413,12,-9,15,4997,767,23577,68
1639574496,2413,11,-9,15,4997,754,23585,66
1639574497,2413,11,-9,15,4997,752,23575,65
1639574499,2413,11,-9,15,4997,743,23568,64
1639574499,2413,11,-9,15,4997,743,23568,64
1639574500,2413,11,-9,15,4997,736,23557,64
1639574501,2413,11,-9,14,4997,733,23574,63
1639574502,2413,10,-9,14,4997,733,23580,63
1639574503,2413,10,-9,14,4997,728,23556,63
1639574504,2413,10,-9,14,4997,731,23549,62
1639574505,2413,10,-9,14,4997,729,23566,62
1639574506,2413,10,-9,14,4997,727,23576,62
1639574507,2413,10,-9,14,4997,724,23588,62
1639574508,2413,10,-9,14,4997,722,23584,62
1639574509,2413,4,-14,15,4997,281,23571,65
1639574510,2413,4,-14,15,4997,266,23568,65
1639574511,2413,4,-14,15,4997,264,23573,65
1639574512,2413,4,-15,15,4998,264,23580,65
1639574513,2413,4,-15,15,4998,262,23578,65
1639574514,2413,4,-14,15,4998,261,23568,65
1639574515,2413,10,-9,14,4998,724,23568,61
1639574516,2413,10,-9,14,4998,731,23571,61
1639574517,2413,10,-9,14,4999,731,23585,61
1639574518,2413,10,-9,14,4999,731,23585,61
1639574519,2413,10,-9,14,4999,730,23579,61
1639574520,2413,10,-9,14,4999,729,23581,61
1639574521,2413,10,-9,14,4998,729,23575,61
1639574522,2413,10,-9,14,4998,729,23581,61
1639574523,2413,10,-9,14,4999,728,23584,61
1639574524,2413,10,-9,14,4999,728,23566,61
1639574525,2413,10,-9,14,4999,726,23576,61
1639574526,2413,10,-9,14,4999,725,23595,61
1639574527,2413,10,-9,14,4999,724,23593,61
1639574528,2413,10,-9,14,4999,724,23590,61
1639574529,2413,10,-9,14,4999,722,23585,61
1639574530,2413,10,-9,14,4999,722,23576,61
1639574531,2413,10,-9,14,4999,722,23576,61
1639574532,2413,10,-9,14,4999,722,23585,61
1639574533,2413,10,-9,14,4999,718,23578,61
1639574534,2413,10,-9,14,4999,719,23586,61
