Ts,ActE,ActP,RctP,AppP,Fr,PF,V,A
1648711450,601,2,-16,16,4999,133,23633,71
1648711451,601,2,-16,17,4999,153,23640,74
1648711452,601,2,-16,17,4999,151,23640,73
1648711453,601,2,-16,17,4999,158,23634,74
1648711454,601,2,-16,17,4999,151,23639,74
1648711455,601,2,-16,17,4999,153,23648,73
1648711456,601,2,-16,17,4999,156,23654,74
1648711457,601,2,-16,17,4999,144,23647,73
1648711458,601,2,-16,17,4999,145,23636,73
1648711459,601,2,-16,17,4999,156,23646,74
1648711460,601,2,-16,17,4999,145,23662,73
1648711461,601,2,-16,17,4999,146,23664,73
1648711462,601,2,-16,17,4999,153,23660,74
1648711463,601,2,-16,17,4999,144,23651,73
1648711464,601,2,-16,17,4999,147,23656,73
1648711465,601,2,-16,17,5000,154,23660,74
1648711466,601,2,-16,17,5000,144,23654,73
1648711467,601,2,-16,17,4999,147,23645,73
1648711468,601,2,-16,17,4999,153,23655,74
1648711469,601,2,-16,17,4999,144,23661,73
1648711470,601,2,-16,17,4999,152,23659,73
1648711471,601,2,-16,17,5000,148,23662,74
1648711472,601,2,-16,17,5000,145,23656,73
1648711473,601,2,-16,17,5000,152,23660,73
1648711474,601,2,-16,17,5000,148,23650,73
1648711475,601,2,-16,17,5000,145,23645,73
1648711476,601,2,-16,17,5000,152,23632,73
1648711477,601,2,-16,17,5000,149,23628,73
1648711478,601,2,-16,17,5000,146,23629,73
1648711479,601,2,-16,17,5000,157,23636,73
1648711480,601,2,-16,17,5000,145,23631,73
1648711481,601,2,-16,17,5000,146,23630,73
1648711482,601,2,-16,17,5000,157,23631,74
1648711483,601,2,-16,17,5000,145,23638,73
1648711484,601,2,-16,17,5000,146,23640,73
1648711485,601,2,-16,17,5000,157,23637,74
1648711486,601,2,-16,17,5000,144,23626,73
1648711487,601,2,-16,17,4999,148,23625,73
1648711488,601,2,-16,17,4999,154,23626,74
1648711489,601,2,-16,17,4999,144,23637,73
1648711490,601,2,-16,17,5000,147,23638,73
1648711491,601,2,-16,17,4999,154,23640,74
1648711492,601,2,-16,17,4999,144,23645,73
1648711493,601,2,-16,17,4998,148,23660,73
1648711494,601,2,-16,17,4999,149,23655,74
1648711495,601,2,-16,17,4999,144,23648,73
1648711496,601,2,-16,17,4998,152,23635,73
1648711497,601,2,-16,17,4998,149,23648,73
1648711498,601,2,-16,17,4998,145,23651,73
1648711499,601,2,-16,17,4998,151,23655,73
1648711500,601,2,-16,17,4998,149,23645,73
1648711501,601,2,-16,17,4998,144,23645,73
1648711502,601,2,-16,17,4998,157,23648,73
1648711503,601,2,-16,17,4998,145,23640,73
1648711504,601,2,-16,17,4998,146,23650,73
1648711505,601,2,-16,17,4998,156,23641,74
1648711506,601,2,-16,17,4998,144,23637,73
1648711507,601,2,-16,17,4998,146,23640,73
1648711508,601,2,-16,17,4998,156,23641,74
1648711509,601,2,-16,17,4999,145,23633,73
1648711510,601,2,-16,17,4999,147,23645,73
1648711511,601,2,-16,17,4998,154,23642,74
1648711512,601,2,-16,17,4999,144,23642,73
1648711513,601,2,-16,17,4999,146,23639,73
1648711514,601,2,-16,17,4999,154,23629,74
1648711515,601,2,-16,17,4999,144,23633,73
1648711516,601,2,-16,17,4999,147,23630,73
1648711517,601,2,-16,17,4999,154,23632,74
1648711518,601,2,-16,17,5000,144,23632,73
1648711519,601,2,-16,17,5000,151,23629,73
1648711520,601,2,-16,17,4999,149,23617,73
1648711521,601,2,-16,17,4999,144,23641,73
1648711522,601,2,-16,17,5000,150,23654,73
1648711523,601,2,-16,17,5001,149,23656,73
1648711524,601,2,-16,17,5000,144,23644,73
1648711525,601,2,-16,17,5000,150,23643,74
1648711526,601,2,-16,17,5000,145,23652,73
1648711527,601,2,-16,17,5001,146,23661,73
1648711528,601,2,-16,17,5001,156,23654,74
1648711529,601,2,-16,17,5000,145,23661,73
1648711530,601,2,-16,17,5001,145,23650,73
1648711531,601,2,-16,17,5001,155,23649,74
1648711532,601,2,-16,17,5001,145,23642,73
1648711533,601,2,-16,17,5000,145,23637,73
1648711534,601,2,-16,17,5000,154,23646,74
1648711535,601,2,-16,17,5000,144,23653,73
1648711536,601,2,-16,17,5000,147,23655,73
1648711537,601,2,-16,17,5000,154,23653,74
1648711538,601,2,-16,17,5000,143,23644,73
