Ts,ActE,ActP,RctP,AppP,Fr,PF,V,A
1654528362,6366,634,272,733,5000,864,23089,3178
1654528363,6366,597,282,661,5001,903,23137,2859
1654528364,6366,592,276,653,5002,906,23145,2824
1654528365,6366,91,67,125,5002,730,23434,537
1654528366,6366,59,62,86,5002,682,23466,369
1654528367,6366,56,62,84,5002,667,23472,363
1654528368,6366,56,62,84,5002,664,23456,361
1654528369,6366,55,62,84,5002,659,23466,358
1654528370,6366,55,62,84,5002,662,23443,359
1654528371,6366,55,62,84,5002,662,23458,359
1654528372,6366,55,62,84,5002,661,23479,359
1654528373,6366,55,62,83,5001,663,23467,358
1654528374,6366,56,62,84,5001,665,23444,361
1654528375,6366,56,62,84,5001,665,23464,361
1654528376,6366,56,62,84,5002,665,23471,361
1654528377,6366,56,62,84,5001,665,23424,361
1654528378,6366,56,62,84,5001,664,23423,360
1654528379,6366,55,62,84,5001,660,23421,359
1654528380,6366,55,62,83,5001,658,23440,357
1654528381,6366,55,61,83,5002,658,23398,357
1654528382,6366,54,61,83,5002,658,23368,356
1654528383,6366,54,61,83,5001,656,23371,355
1654528384,6366,54,61,82,5001,654,23380,355
1654528385,6366,54,61,82,5002,654,23383,354
1654528386,6366,54,61,82,5002,654,23378,354
1654528387,6366,54,61,82,5002,654,23350,354
1654528388,6366,54,61,82,5002,654,23376,355
1654528389,6366,54,61,83,5002,653,23393,355
1654528390,6366,54,61,83,5002,655,23393,355
1654528391,6366,54,61,83,5002,654,23400,355
1654528392,6366,54,61,83,5001,653,23404,355
1654528393,6366,53,61,82,5001,651,23386,354
1654528394,6366,53,61,82,5001,649,23389,352
1654528395,6366,53,61,82,5002,649,23391,352
1654528396,6366,53,61,82,5002,647,23400,351
1654528400,6366,52,61,82,5002,645,23423,350
1654528400,6366,52,61,82,5002,645,23423,350
1654528400,6366,52,61,82,5002,645,23423,350
1654528403,6366,52,61,82,5001,644,23412,350
1654528403,6366,52,61,82,5001,644,23412,350
1654528403,6366,52,61,82,5001,644,23412,350
1654528403,6366,52,61,82,5001,643,23422,350
1654528404,6366,52,61,81,5001,643,23433,349
1654528405,6366,52,61,81,5001,643,23404,350
1654528406,6366,52,61,81,5002,644,23409,350
1654528407,6367,52,61,81,5001,642,23418,349
1654528408,6367,52,62,81,5001,639,23441,348
1654528409,6367,52,62,81,5001,638,23450,348
1654528410,6367,52,61,81,5002,640,23426,349
1654528411,6367,51,61,81,5003,637,23439,347
1654528412,6367,52,61,81,5002,638,23434,348
1654528413,6367,52,61,81,5002,638,23435,347
1654528414,6367,51,62,81,5002,637,23453,348
1654528416,6367,51,62,81,5002,636,23443,347
1654528416,6367,51,61,81,5002,636,23426,347
1654528417,6367,51,61,81,5001,636,23414,347
1654528418,6367,51,61,81,5000,636,23431,347
1654528419,6367,51,61,81,5000,636,23429,347
1654528420,6367,51,61,81,5000,635,23429,346
1654528421,6367,51,61,81,5000,634,23432,346
1654528422,6367,51,61,81,5000,633,23423,346
1654528423,6367,51,62,81,5000,632,23451,345
1654528424,6367,51,62,81,5000,634,23450,346
1654528425,6367,51,62,81,5000,635,23448,347
1654528426,6367,51,61,81,5000,633,23425,346
1654528427,6367,51,61,80,4999,632,23413,345
1654528428,6367,51,61,81,4999,633,23412,345
1654528429,6367,51,61,81,4999,634,23420,346
1654528430,6367,51,61,80,4999,633,23414,345
1654528431,6367,51,61,81,4999,635,23410,346
1654528432,6367,51,61,80,4998,631,23421,345
1654528433,6367,50,61,80,4998,630,23433,344
1654528434,6367,51,62,81,4998,633,23436,346
1654528435,6367,51,61,81,4999,634,23410,346
1654528436,6367,51,61,80,4999,633,23440,345
1654528437,6367,50,62,80,4999,629,23453,344
1654528438,6367,51,62,81,4999,630,23485,345
1654528439,6367,51,62,81,4999,631,23464,346
1654528440,6367,51,62,80,4999,631,23470,346
1654528441,6367,51,62,80,4999,630,23469,345
1654528442,6367,50,62,80,4999,629,23470,345
1654528443,6367,51,62,81,4999,631,23478,346
1654528444,6367,51,62,81,4999,630,23477,345
1654528445,6367,51,61,81,4999,632,23431,346
1654528446,6367,51,62,81,4999,631,23472,346
1654528447,6367,51,62,80,4999,631,23469,346
1654528448,6367,50,62,80,4999,629,23461,344
1654528449,6367,50,62,80,4999,629,23455,344
1654528450,6367,51,62,81,4999,632,23461,346
1654528451,6367,51,62,81,4999,632,23466,346
1654528452,6367,51,62,81,4999,630,23457,345
1654528453,6367,51,62,81,4999,630,23460,345
1654528454,6367,51,62,81,4999,631,23461,345
1654528455,6367,50,61,80,4999,629,23438,344
1654528456,6367,51,61,80,5000,632,23438,345
1654528458,6367,50,61,80,4999,630,23426,345
1654528458,6367,51,61,80,4999,632,23420,345
