Ts,ActE,ActP,RctP,AppP,Fr,PF,V,A
1645448160,178,0,-14,13,5001,20,23455,59
1645448161,178,0,-14,13,5001,20,23462,59
1645448162,178,0,-14,13,5001,20,23456,59
1645448163,178,0,-14,13,5001,20,23456,59
1645448165,178,0,-14,13,5001,20,23435,59
1645448165,178,0,-14,13,5001,20,23449,59
1645448166,178,0,-14,13,5001,20,23460,59
1645448167,178,0,-14,13,5001,20,23471,59
1645448168,178,0,-14,13,5001,20,23468,59
1645448169,178,0,-14,13,5001,20,23468,59
1645448170,178,0,-14,13,5002,20,23457,59
1645448171,178,0,-14,13,5002,20,23459,59
1645448172,178,0,-14,13,5002,20,23454,59
1645448173,178,0,-14,13,5002,20,23444,59
1645448174,178,0,-14,13,5002,20,23451,59
1645448175,178,0,-14,13,5002,20,23467,59
1645448176,178,0,-14,13,5003,20,23460,59
1645448177,178,0,-14,13,5003,20,23469,59
1645448178,178,0,-14,13,5003,20,23464,59
1645448179,178,0,-14,13,5003,20,23462,59
1645448180,178,0,-14,13,5002,20,23460,59
1645448181,178,0,-14,13,5002,20,23458,59
1645448182,178,0,-14,13,5002,20,23463,59
1645448183,178,0,-14,13,5002,20,23463,59
1645448184,178,0,-14,13,5002,20,23450,59
1645448185,178,0,-14,13,5002,20,23460,59
1645448186,178,0,-14,13,5002,20,23482,59
1645448187,178,0,-14,13,5002,20,23473,59
1645448188,178,0,-14,13,5002,20,23469,59
1645448189,178,0,-14,13,5002,20,23477,59
1645448190,178,0,-14,13,5002,20,23482,59
1645448191,178,0,-14,13,5003,20,23469,59
1645448192,178,0,-14,13,5003,20,23474,59
1645448193,178,0,-14,13,5003,20,23468,59
1645448194,178,0,-14,13,5003,20,23474,59
1645448195,178,0,-14,13,5003,19,23472,59
1645448196,178,0,-14,13,5003,20,23477,59
1645448197,178,0,-14,13,5003,20,23483,59
1645448198,178,0,-14,13,5003,20,23480,59
1645448199,178,0,-14,13,5004,19,23480,59
1645448200,178,0,-14,13,5004,20,23491,59
1645448201,178,0,-14,13,5004,20,23497,59
1645448202,178,0,-14,13,5004,19,23483,59
1645448203,178,0,-14,13,5004,20,23478,59
1645448204,178,0,-14,13,5004,20,23479,59
1645448205,178,0,-14,13,5004,20,23482,59
1645448206,178,0,-14,13,5004,19,23487,59
1645448207,178,0,-14,13,5004,20,23498,59
1645448208,178,0,-14,13,5004,20,23487,59
1645448209,178,0,-14,13,5004,20,23496,59
1645448210,178,0,-14,13,5004,20,23495,59
1645448211,178,0,-14,13,5003,20,23484,59
1645448212,178,0,-14,13,5003,20,23468,59
1645448213,178,0,-14,13,5003,20,23477,59
1645448214,178,0,-14,13,5003,20,23471,59
1645448215,178,0,-14,13,5003,20,23473,59
1645448216,178,0,-14,13,5003,20,23469,59
1645448217,178,0,-14,13,5003,20,23484,59
1645448218,178,0,-14,13,5003,20,23484,59
1645448219,178,0,-14,13,5003,20,23477,59
1645448220,178,0,-14,13,5003,20,23461,59
1645448221,178,0,-14,13,5002,20,23457,59
1645448222,178,0,-14,13,5002,20,23452,59
1645448223,178,0,-14,13,5002,20,23458,59
1645448224,178,0,-14,13,5002,20,23446,59
1645448225,178,0,-14,13,5002,20,23443,59
1645448226,178,0,-14,13,5002,20,23443,59
1645448227,178,0,-14,13,5002,20,23455,59
1645448228,178,0,-14,13,5002,20,23457,59
1645448229,178,0,-14,13,5002,20,23455,59
1645448230,178,0,-14,13,5002,20,23461,59
1645448231,178,0,-14,13,5002,30,23460,59
1645448232,178,0,-14,13,5002,57,23443,59
1645448233,178,0,-14,13,5002,59,23432,59
1645448234,178,0,-14,13,5002,59,23431,59
1645448235,178,0,-14,13,5002,59,23437,59
1645448236,178,0,-14,13,5002,59,23433,59
1645448237,178,0,-14,13,5002,59,23440,59
1645448238,178,0,-14,14,5003,59,23467,60
1645448239,178,0,-14,13,5002,60,23448,59
1645448240,178,0,-14,13,5002,60,23456,59
1645448241,178,0,-14,14,5002,61,23454,60
1645448242,178,0,-14,14,5003,61,23460,60
1645448243,178,0,-14,14,5003,60,23456,60
1645448244,178,0,-14,14,5003,59,23459,60
1645448245,178,0,-14,14,5003,60,23459,60
1645448246,178,0,-14,14,5003,60,23460,60
1645448247,178,0,-14,14,5003,60,23465,60
1645448248,178,0,-14,14,5003,60,23454,60
1645448249,178,0,-14,13,5003,60,23452,59
1645448250,178,0,-14,13,5003,60,23454,60
1645448251,178,114,-14,118,5003,964,23384,537
1645448252,178,10,-14,18,5003,589,23468,78
1645448253,178,11,-11,16,5003,680,23463,71
1645448254,178,12,-9,15,5003,794,23455,66
1645448255,178,11,-9,15,5003,781,23464,65
1645448256,178,11,-9,14,5003,772,23455,64
1645448257,178,11,-9,14,5003,769,23470,63
