Ts,ActE,ActP,RctP,AppP,Fr,PF,V,A
1646099473,10159,623,302,695,5001,896,23143,3005
1646099474,10159,627,304,696,5002,899,23146,3014
1646099475,10159,597,282,401,5002,852,23173,2854
1646099476,10159,73,63,93,5002,720,23489,420
1646099477,10159,63,63,90,5002,699,23503,385
1646099478,10159,62,63,89,5001,694,23488,381
1646099479,10159,61,63,89,5001,691,23488,380
1646099480,10159,61,63,89,5001,692,23481,380
1646099481,10159,61,63,88,5002,688,23507,378
1646099482,10159,60,63,88,5002,687,23487,377
1646099483,10159,61,63,88,5001,686,23503,378
1646099484,10159,60,63,88,5001,685,23526,377
1646099485,10159,60,63,88,5001,684,23520,376
1646099486,10159,60,63,88,5001,683,23503,375
1646099487,10159,60,63,88,5001,683,23516,375
1646099488,10160,60,63,88,5001,682,23519,375
1646099489,10160,60,63,88,5001,681,23510,375
1646099490,10160,59,63,87,5001,681,23485,374
1646099491,10160,59,63,87,5001,681,23496,374
1646099492,10160,59,63,87,5002,680,23502,373
1646099493,10160,59,63,87,5002,680,23488,373
1646099494,10160,59,63,87,5002,679,23487,373
1646099495,10160,59,63,87,5001,679,23495,372
1646099496,10160,59,63,87,5001,678,23508,372
1646099497,10160,59,63,87,5002,677,23509,371
1646099498,10160,58,63,87,5002,675,23499,371
1646099499,10160,58,63,86,5002,675,23481,370
1646099500,10160,58,63,86,5002,674,23492,370
1646099501,10160,58,63,86,5002,671,23503,368
1646099502,10160,58,63,86,5002,671,23487,368
1646099503,10160,57,62,86,5002,670,23484,367
1646099504,10160,57,62,85,5002,668,23484,366
1646099505,10160,57,63,86,5002,668,23505,366
1646099506,10160,57,63,85,5002,667,23501,365
1646099507,10160,56,62,85,5002,666,23491,364
1646099508,10160,56,62,85,5002,661,23512,363
1646099509,10160,56,62,85,5002,661,23506,362
1646099510,10160,56,62,85,5003,662,23508,362
1646099511,10160,55,62,84,5003,659,23490,360
1646099512,10160,55,62,84,5002,658,23480,360
1646099513,10160,55,62,84,5002,658,23480,359
1646099514,10160,55,62,84,5003,656,23521,359
1646099515,10160,55,62,84,5003,656,23512,359
1646099516,10160,55,62,84,5003,655,23496,359
1646099517,10160,55,62,84,5002,654,23506,358
1646099518,10160,55,62,84,5002,654,23494,358
1646099519,10160,55,62,84,5003,654,23510,358
1646099520,10160,54,62,84,5003,653,23518,357
1646099521,10160,54,62,84,5003,652,23503,357
1646099522,10160,54,62,84,5002,653,23508,357
1646099523,10160,54,62,83,5002,652,23493,357
1646099524,10160,54,62,83,5002,651,23482,356
1646099525,10160,54,62,83,5002,650,23490,356
1646099526,10160,54,62,83,5002,651,23488,356
1646099527,10160,54,62,83,5002,650,23494,356
1646099528,10160,54,62,83,5002,649,23505,356
1646099529,10160,54,62,83,5002,648,23497,355
1646099530,10160,54,62,83,5002,647,23496,355
1646099531,10160,54,62,83,5002,648,23501,355
1646099532,10160,53,62,83,5001,647,23506,355
1646099533,10160,53,62,83,5002,644,23512,354
1646099534,10160,53,62,82,5002,644,23494,352
1646099535,10160,53,62,82,5002,645,23483,353
1646099536,10160,53,62,82,5002,643,23511,352
1646099537,10160,53,62,82,5002,643,23512,352
1646099538,10160,53,62,83,5002,644,23506,353
1646099539,10160,53,62,83,5002,644,23502,353
1646099540,10160,53,62,83,5002,643,23505,353
1646099541,10160,53,62,82,5002,645,23506,353
1646099542,10160,53,62,82,5002,643,23496,353
1646099543,10160,53,62,82,5002,643,23506,353
1646099544,10160,53,62,82,5002,643,23478,352
1646099545,10160,53,62,82,5001,643,23492,352
1646099546,10160,52,62,82,5001,641,23496,351
1646099547,10160,52,62,82,5001,641,23504,351
1646099548,10160,53,62,82,5002,641,23492,352
1646099549,10160,53,62,82,5002,641,23495,352
1646099550,10160,52,62,82,5001,641,23497,351
1646099551,10160,52,62,82,5001,640,23499,351
1646099552,10160,52,62,82,5001,639,23509,350
1646099553,10160,52,62,82,5001,638,23509,350
1646099554,10161,52,62,82,5002,637,23517,350
1646099555,10161,52,62,82,5002,638,23493,350
1646099556,10161,52,62,82,5002,639,23498,350
1646099557,10161,52,62,82,5001,639,23499,350
